nom,adresse,arrondissement,arrondissement2,telephone,prix,cuisine1,cuisine2,cuisine3,cuisine4,cuisine5,cuisine6,cuisine7
Zephire Lounge,"4053, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 289-9195,1,Déjeuner,Crêperie,Café,Sandwichs,Bistro,,
Fameux Gyros Elatos,"550, rue Jarry O.",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(514) 273-5358,1,Grecque,Pizza,Sandwichs,Salades,Réconfort,,
Pasta Andrea,"1718, boul. St-Joseph",Lachine,,(514) 634-3400,2,Italienne,Pâtes,,,,,
Janick,"995, rue Richelieu",Beloeil,,(450) 714-1066,2,Marché,Française,Tartare,,,,
Café Resto Sidi Bou,"3583, rue Jean-Talon E",Villeray-Saint-Michel,,(514) 725-9793,1,Tunisienne,Café,,,,,
La Tornade,"7546, rue Centrale",Verdun/Lasalle,,(514) 363-3013,1.5,Fish & Chips,Fruits de mer/Poissons,,,,,
La Conquistadora,"549, rue St-Georges",Saint-Jérôme,,(450) 592-2660,1,Mexicaine,Salvadorienne,,,,,
Le Raphaël,"3053, boul. Curé Labelle",Prévost,,(450) 224-4870,2.5,Française,Tartare,,,,,
Le Toasteur Villeray,"767, rue Villeray",Villeray-Saint-Michel,,(514) 759-6377,1,Déjeuner,Café,Crêperie,Sandwichs,Burgers,,
Guanabara,"1484, boul. Shevshenko",Verdun/Lasalle,,(514) 266-4919,1,Brésilienne,Latino Américaine,,,,,
Coronet Pizza,"1671, rue Poirier",Ville Saint-Laurent,,(514) 744-5847,1,Pizza,,,,,,
Marché Le Richmond,"333, rue Richmond",Griffintown,Le Sud Ouest,(514) 508-8749,2.5,Bistro,Marché,,,,,
Kameila,"1651, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 523-6979,1,Chinoise,Szechuannaise,Thaïlandaise,Vietnamienne,Asiatique,,
Pho MC,"8200, boul. Taschereau",Brossard,,(450) 904-0660,2,Vietnamienne,Asiatique,,,,,
La Caverne,"5184 A, chemin de la cote-des-Neiges",Côte-des-Neiges,,(514) 738-6555,2,Russe,Végétarienne,,,,,
Banh Mi 79,"79A, rue Ste-Catherine E.",Quartier des Spectacles,,(514) 840-7507,1,Vietnamienne,Sandwichs,,,,,
Le Balneo,"106, boul. Don-Quichotte",Île Perrot/Pincourt,,(514) 453-5678,2,Pâtes,Salades,Sandwichs,Internationale,,,
Resto Café Riviera,"501, rue Jarry E",Villeray-Saint-Michel,,(514) 270-7199,1,Café,Sandwichs,Salades,,,,
Le Sous-Marin,"204, rue Jacques-Cartier S",St-Jean-Sur-Richelieu,,(450) 346-7496,1,Poutine,Burgers,Réconfort,,,,
Au Kinh Do,"8050, boul. Taschereau",Brossard,,(450) 672-0282,1.5,Vietnamienne,Asiatique,,,,,
Zoé Fondues & Karaoké,"3296, rue Jean-Talon E",Villeray-Saint-Michel,,(514) 374-0666,1.5,Fondue,Raclette,,,,,
Café Chat L'Heureux,"172, ave. Duluth E.",Le Plateau-Mont-Royal,Avenue Duluth,(438) 333-1505,1,Café,,,,,,
Royal Tandoori Express,"91, rue Ste-Catherine E.",Centre-ville,Quartier des Spectacles,(514) 360-5300,1,Indienne,,,,,,
Thanh-Long Pho Vietnamien,"103, rue Ste-Catherine E",Centre-ville,Quartier des Spectacles,(514) 848-0521,1,Vietnamienne,,,,,,
Alexandraplatz,"6731, de l'Esplanade",Mile-Ex,Petite-Italie,(438) 935-6731,1,Grillades,,,,,,
Labo Culinaire Foodlab,"1201, boul. St-Laurent",Boul. St-Laurent/Main,Quartier des Spectacles,(514) 844-2033,1,Marché,Bistro,,,,,
Makisu,"315, boul. Curé Labelle",Sainte-Thérèse,,(450) 434-2552,1,Asiatique,Sushi,,,,,
Cabane Hot-Dogs,"1743, rue St-Denis",Le Sud Ouest,Quartier des Spectacles,(438) 386-3647,1,Réconfort,,,,,,
Pizza Fontana,"2550, rue de Rouen",Le Village/Centre Sud,,(514) 526-0071,1,Pizza,Deli,,,,,
Asi Express,"5320, rue Jean-Talon E",Anjou-St-Léonard,,(514) 722-6546,1,Thaïlandaise,Asiatique,,,,,
Paragon,"4640, rue Jarry E",Anjou-St-Léonard,,(514) 593-5077,1,Pizza,Pâtes,Italienne,,,,
Poissonnerie Méditerranéenne,"7735, boul. St-Michel",Villeray-Saint-Michel,,(514) 721-5505,1,Fruits de mer/Poissons,Fish & Chips,,,,,
Maboule,"185, boul. Antonio Barrette",Notre-Dame-des-Prairies,,(450) 755-4111,1,Déjeuner,Burgers,Smoked Meat,,,,
La Grange,"2, rue Meadowbrook",Morin-Heights,,(450) 644-0056,2.5,Réconfort,Tartare,Italienne,Burgers,,,
Boucherie Lawrence,"5237, boul. St-Laurent",Le Plateau-Mont-Royal,Mile-End,(514) 277-8880,1,Sandwichs,Deli,,,,,
Resto Lounge L,"2159, boul. Curé-Labelle",Chomedey,,(450) 682-0020,2,Méditerranéenne,Grecque,Grillades,Fruits de mer/Poissons,,,
Mon Nan Village,"43, Rue de la Gauchetiere",Quartier Chinois,,(514) 866-7123,2,Chinoise,Asiatique,Szechuannaise,,,,
Sushi Hoshimi,"6573, ave. Somerled",Notre-Dame-de-Grâce (NDG),,(514) 419-4119,1,Sushi,,,,,,
Da Giovanni Rapido,"2031, rue Frontenac",Le Village/Centre Sud,,(514) 903-7705,1,Pizza,Poutine,Pâtes,,,,
L'Orignal,"479, rue St-Alexis",Vieux-Montréal,Centre-ville,(514) 303-0479,3.5,Du Terroir,Marché,Fruits de mer/Poissons,,,,
Jolibourg Pizzeria,"1263, boul. Jolibourg",Laval-sur-le-Lac,Sainte-Dorothée,(450) 689-8220,1,Pizza,,,,,,
Automne Boulangerie,"6500, ave. Christophe-Colomb",Rosemont-Petite-Patrie,Villeray-Saint-Michel,(514) 274-8111,1,Café,Sandwichs,Salades,Déjeuner,,,
Caraibec,"9920, boul. St-Laurent",Ahuntsic-Cartierville,,(514) 507-4331,1,Caraïbéenne,Créative,,,,,
Crazy Falafel,"759, boul. de la Côte-Vertu",Ville Saint-Laurent,,(514) 748-0028,1,Libanaise,Burgers,Sandwichs,,,,
Sagimahe,"5955, ave. Victoria",Côte-des-Neiges,,(514) 342-2219,2,Sri Lankaise,Indienne,,,,,
Hof Kelsten,"4524, boul. St-Laurent",Mile-End,Le Plateau-Mont-Royal,(514) 649-7991,1,Bagels,Sandwichs,Café,Smoked Meat,,,
Pénélope,"244, rue St-Jacques",Vieux-Montréal,,n/a,2,Française,,,,,,
Tandoor & Grille Haveli,"4690, boul. des Sources",Dollard-des-Ormeaux,,(514) 683-4878,1.5,Indienne,Pakistanaise,Halal,,,,
Nespresso Boutique,"2045, rue Crescent",Centre-ville,,855-325-5781,1.5,Café,Sandwichs,,,,,
La Baraque du Vieux St-Vincent,"401, rue Saint-Vincent",Vieux-Montréal,,(514) 224-1000,2,Pub Food,Burgers,Pizza,Grillades,Sandwichs,Poutine,Salades
Le Mam'zelle Pub,"382, rue Principale O",Magog,,(819) 769-8665,1.5,Bistro,Pub Food,,,,,
Phoenix Oriental,"7230, boul. Maurice-Duplessis",RDP-Pointe-aux-Trembles,,(514) 903-3888,1.5,Szechuannaise,Chinoise,Sushi,,,,
Trattoria Le Monte Carlo,"6, rue Principale S.",Brome-Missisquoi,,(450) 538-2121,2,Marché,Bistro,Française,Tartare,,,
Le Coq Chantant,"1191, rue de St-Jovite",Mont-Tremblant,,(819) 425-9953,1,Déjeuner,,,,,,
Caffètteria Armando,"1239, rue de Bellechasse",Rosemont-Petite-Patrie,,(514) 379-1330,,Café,Desserts et Sucreries,,,,,
GaNaDaRa,"1862, boul. de Maisonneuve",Centre-ville,,(514) 933-2288,1,Coréenne,Asiatique,Ramen,,,,
Bistro Lustucru,"5159, ave. Du Parc",Outremont,Mile-End,(514) 439-6701,2.5,Bistro,Marché,Créative,Tartare,,,
Lorraine,"2000, chemin Du Village",Mont-Tremblant,,(819) 425-5566,1,Déjeuner,Réconfort,,,,,
Estiatorio Yiasou,"5375, chemin Queen Mary",Notre-Dame-de-Grâce (NDG),Côte-des-Neiges,(514) 488-4222,1,Grecque,,,,,,
Rôtisserie Kiri-Piri,"4495, boul. St-Laurent",Le Plateau-Mont-Royal,Boul. St-Laurent/Main,(514) 313-1080,1,Portugaise,Barbecue-BBQ,Rôtisserie,,,,
Le Mondo Bistro Lounge,"283, rue Saint-Georges",Saint-Jérôme,,(450) 592-1241,1,Bistro,,,,,,
Licence IV,"1524, rue Notre-Dame O",Griffintown,,(514) 778-9595,2,Bistro,Française,,,,,
Clementine Café,"1490, rue Sherbrooke O",Centre-ville,,(514) 933-8080,2,Café,Bistro,Turque,Méditerranéenne,,,
La Plume Blanche,"113, rue Dumont",Vaudreuil-Dorion,,(450) 424-7744,2.5,Marché,Du Terroir,Française,Tartare,,,
Birra Bar à Bières Maison,"7129, boul. St-Laurent",Petite-Italie,,(514) 447-3154,2,Pub Food,,,,,,
Antonio Pizza,"169, rue Salaberry O.",Salaberry-de-Valleyfield,,(450) 371-0290,1,Pizza,,,,,,
Sushizo,"1350, rue Royale",Trois-Rivières,,(819) 840-2919,1,Asiatique,Sushi,,,,,
Chez Stanley Resto-Bar,"1180, rue King E",Sherbrooke,,(819) 562-3350,1,Pub Food,,,,,,
Foiegwa,"3001, rue Notre-Dame O",Saint-Henri,,(438) 387-4252,2,Française,Réconfort,Burgers,,,,
Peddlers,"7500, boul. Newman",Verdun/Lasalle,,(514) 364-7204,1,Réconfort,,,,,,
Station Ho.st,"1494, rue Ontario E",Le Village/Centre Sud,,(514) 564-4678,1,Burgers,Allemande,,,,,
Café C C,"1440, rue Stanley",Centre-ville,,(514) 287-1575,1,Café,,,,,,
Délices d'Asie,"649, ave. Victoria",Saint-Lambert,,(450) 672-9312,1.5,Asiatique,Szechuannaise,Chinoise,Sushi,,,
La Rabastalière,"125, chemin de la Rabastaliere O",Saint-Bruno-de-Montarville,,(450) 461-0173,2,Française,Tartare,,,,,
Cafe Sandwich,"1616, rue Ste-Catherine O",Centre-ville,,(514) 989-2236,2,Café,,,,,,
Café Névé,"151, rue Rachel E",Le Plateau-Mont-Royal,,(514) 903-9294,1,Café,Sandwichs,,,,,
Pizza Express Plus,"531, boul. Sainte-Rose",Laval-Ouest,Laval-sur-le-Lac,(450) 627-7627,1,Pizza,,,,,,
Jardin Thai,"270, boul. Labelle",Rosemère,,(450) 971-5749,1,Thaïlandaise,,,,,,
Cantinho Express,"5825, boul. Henri-Bourassa E",Montréal-Nord,,(514)-321-6262,,Portugaise,Grillades,Fruits de mer/Poissons,Sandwichs,Poutine,Salades,
El Jumelgi,"3871, rue Ste-Catherine E.",Hochelaga-Maisonneuve,Montréal-Est,(514) 522-0905,1.5,Réconfort,Bistro,,,,,
Les Agitateurs Gourmands,"6522, boul. St-Laurent",Rosemont-Petite-Patrie,,(514) 276-2513,1,Sandwichs,Deli,Française,Bistro,Tartare,,
Le MajesThé,"439, ave. du Président-Kennedy",Quartier des Spectacles,Centre-ville,(514) 840-5128,1,Déjeuner,Sandwichs,,,,,
Di Carlo,"28, rue Dufferin",Granby,,(450) 375-0577,2,Italienne,Fruits de mer/Poissons,,,,,
Rumeur,"325, chemin du Bord-du-Lac-Lakeshore",Pointe-Claire,,(514) 505-4242,1,Desserts et Sucreries,,,,,,
L'Oliveto,"205, rue St-Jean",Vieux Longueuil,Longueuil,(450) 677-8743,2.5,Méditerranéenne,Française,Pâtes,Tartare,,,
Bistro Delice,"123, boul. Richelieu",Richelieu,,(450) 982-0910,2,Bistro,,,,,,
Ma Tante Quiche,"2194, rue Du Centre",Pointe St-Charles,Le Sud Ouest,(438) 381-3838,1,Du Terroir,Desserts et Sucreries,Sandwichs,Déjeuner,Grilled Cheese,Café,Fish & Chips
Impasto,"48, rue Dante",Petite-Italie,Rosemont-Petite-Patrie,(514) 508-6508,3.5,Italienne,,,,,,
Highland Grill,"1012, rue Principale",Granby,,(450) 991-4050,2.5,Grillades,Tartare,,,,,
Rosa Bella,"1515, place de l'Hôtel-de-Ville",Saint-Bruno-de-Montarville,,(450) 461-0142,2,Italienne,,,,,,
Liverpool House,"2501, Rue Notre Dame",Petite-Bourgogne,Le Sud Ouest,(514) 313-6049,2,Italienne,Marché,Réconfort,,,,
Sylva,"274, boul. St Luc",St-Jean-Sur-Richelieu,,(450) 348-0227,1,Déjeuner,Fruits de mer/Poissons,Grillades,Italienne,,,
Le Placard Café,"2129, ave du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 590-0733,1,Café,Sandwichs,Grilled Cheese,,,,
J'M La Frite,"350, rue Strathmore",Verdun/Lasalle,,(514) 769-3132,1.5,Burgers,Sandwichs,Pizza,,,,
Rêve Café,"5326, chemin Queen-Mary",Côte-des-Neiges,,(514) 484-7383,1,Café,,,,,,
Diabolissimo,"1256, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 528-6133,1,Italienne,,,,,,
Mange-Moi,"35, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(438) 383-3355,1.5,Burgers,Poutine,Américaine,Salades,,,
Restaurant du Village,"220, rue Principale",Saint-Sauveur,,(450) 227-3444,1,Poutine,Réconfort,,,,,
Greasy Spoon,"160, rue Laurier O",Mile-End,Le Plateau-Mont-Royal,(514) 495-7666,2,Marché,Du Terroir,,,,,
Pizzeria La Tradition Italienne,"579-B, rue Notre Dame",Le Gardeur,Repentigny,(450) 470-1880,1,Pizza,,,,,,
Atyab Akllé,"145-800, boul. Chomedey",Chomedey,,(450) 686-6849,1,Libanaise,Halal,,,,,
Chase,"5672, ave de Monkland",Côte-des-Neiges,,(514) 482-2256,1.5,Libanaise,Sandwichs,Salades,Végétarienne,,,
Connie's Pizza,"801, rue Charlevoix",Pointe St-Charles,Le Sud Ouest,(514) 932-2045,1,Pizza,Burgers,Réconfort,,,,
Sandwicherie St-Henri,"3570A , rue Notre-Dame O",Le Sud Ouest,,(438) 385-9970,1,Sandwichs,,,,,,
Sushi Shop & Thai Express,"3550, ave. du Parc",Centre-ville,,(514) 845-5292,1,Sushi,Poke Bowl,,,,,
Maghreb,"3594, rue Jean Talon E",Villeray-Saint-Michel,,(514) 723-5050,1,Pizza,Halal,Réconfort,,,,
Resto Venise,"163, ave Bernard O",Mile-End,Le Plateau-Mont-Royal,(514) 279-8228,1.5,Pizza,,,,,,
Restaurant Karoun,"411, boul. Curé-Labelle S",Chomedey,,(450) 682-6820,2,Arménienne,Libanaise,,,,,
Lune D'Asie,"2229, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 527-5035,2,Asiatique,Vietnamienne,,,,,
Queen Sheeba,"4525, ave. du Parc",Mile-End,Le Plateau-Mont-Royal,(514) 840-9494,1.5,Éthiopienne,,,,,,
Local Jerk,"8, ave. Duluth E",Le Plateau-Mont-Royal,,(514) 840-4147,1,Rôtisserie,,,,,,
Rhubarbe,"5091, rue de Lanaudière",Le Plateau-Mont-Royal,,(514) 903-3395,1,Desserts et Sucreries,,,,,,
La Brasserie Saint-Denis par Bières et Compagnie,"4350, rue St-Denis",Rue St-Denis,Le Plateau-Mont-Royal,(514) 844-0394,1.5,Internationale,Méditerranéenne,Pub Food,Moules,,,
La Pataterie,"3860, rue Ontario E",Montréal-Est,Hochelaga-Maisonneuve,(514) 523-3202,1,Casse-Croute,Poutine,Burgers,,,,
Chez la Petite Madeleine,"5255, chemin de Chambly",Saint-Hubert,,(450) 656-2444,1,Maison de thé,Desserts et Sucreries,,,,,
Shalom Glatt Casher,"5390, chemin Queen-Mary",Notre-Dame-de-Grâce (NDG),Côte-des-Neiges,(514) 419-4111,1,Cacher,,,,,,
Le Sterling Pub,"130, rue Lajoie S",Joliette,,(450) 759-3403,1,Pub Food,Américaine,,,,,
Social Bar & Cie,"150, rue St-Jacques",Granby,,(450) 991-3336,2,Tapas,,,,,,
Bières & Compagnie,"2285, chemin Gascon",Terrebonne/Lachenaie,,(450) 492-3339,1.5,Méditerranéenne,Internationale,Moules,,,,
Mikasa Sushi Express,"3302, boul. Taschereau",Greenfield Park,Longueuil,(450) 672-3888,2,Japonaise,Sushi,,,,,
Le Patio Bar Laitier,"836,  ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 524-0792,1,Crème glacée,,,,,,
Cal's Pizza,"6193, boul. Labelle RR 1",Val-Morin,,(819) 322-6421,1,Pizza,Grecque,,,,,
Retro Pizza,"617, rue St-Isidore",Saint-Lin-Laurentides,,(450) 439-6161,1,Pizza,,,,,,
Ma Douce Moitié,"4559, rue Wellington",Verdun/Lasalle,,(514) 766-3100,1,Café,Bistro,Déjeuner,Desserts et Sucreries,Grilled Cheese,,
La Baie des Dragons,"1999, boul. Édouard",Saint-Hubert,Longueuil,(450) 466-8778,1.5,Asiatique,Grillades,,,,,
La Cueva,"806, boul. Rosemont",Rosemont-Petite-Patrie,,(514) 279-5307,1,Bistro,,,,,,
Ô Plaisiers Gourmand,"1490, rue Sherbrooke O",Centre-ville,,(438) 381-6111,1,Desserts et Sucreries,Sandwichs,Salades,,,,
Dawa,"6135, rue Sherbrooke O.",Notre-Dame-de-Grâce (NDG),,(514) 508-3665,1,Coréenne,Barbecue-BBQ,,,,,
Planète Poutine,"495, rue Leclerc",Repentigny,,(450) 657-0003,1,Poutine,,,,,,
Jardin Du Cari,"5554, boul Saint-Laurent",Le Plateau-Mont-Royal,Mile-End,(514) 495-0565,1,Caraïbéenne,Cajun,,,,,
La Maison De Kebab,"820, ave. Atwater",Westmount,,(514) 933-0933,2,Persane,Iranienne,Moyen Orientale,Halal,,,
Damas,"1201, ave. Van Horne",Outremont,,(514) 439-5435,3,Moyen Orientale,Syrienne,Méditerranéenne,,,,
WiAsie,"689, boul. Saint-Jean-Baptiste",Mercier,,(450) 692-2128,2,Asiatique,Sushi,Japonaise,,,,
Café Ricardo,"310 A, rue dArran",Saint-Lambert,,(450) 550-2233,1,Marché,Santé,Desserts et Sucreries,,,,
Pendeli's Pizza,"1401, rue du Collège",Ville Saint-Laurent,,(514) 747-2449,1,Pizza,,,,,,
Liv Salades,"5350, boul. St-Laurent",Mile-End,Boul. St-Laurent/Main,(514) 903-8330,1,Salades,Marché,,,,,
Au Vieux Saint-Laurent,"854, boul. Décarie",Ville Saint-Laurent,,(514) 855-9855,1,Marocaine,Moyen Orientale,Halal,,,,
Atelier Asie,"453, ave. Viger O.",Vieux-Montréal,,(514) 508-9998,1.5,Asiatique,,,,,,
Bistro Olivieri,"5219, Chemin de la Côte-des-Neiges",Côte-des-Neiges,,(514) 739-3303,2,Bio,Bistro,Du Terroir,,,,
Sana,"655, rue Jarry O",Parc-Extension,Villeray-Saint-Michel,(514) 274-2220,1,Indienne,Pakistanaise,Moyen Orientale,,,,
Maison Lim,"20, rue Valmont",Repentigny,,(450) 585-8838,1,Chinoise,,,,,,
Maison Publique,"4720, rue Marquette",Le Plateau-Mont-Royal,,(514) 507-0555,2,Pub Food,Fish & Chips,,,,,
Paris Pho,"1717, rue Poirier",Ville Saint-Laurent,,(514) 747-4493,1,Vietnamienne,,,,,,
Le Marché des Éclusiers,"400, rue de la Commune O",Vieux-Montréal,,(514) 758-3686,1.5,Bistro,Marché,Internationale,,,,
Le Banh Thai,"4730, boul. Gene-H.-Kruger",Trois-Rivières,,(819) 840-2833,2,Thaïlandaise,Asiatique,,,,,
Vimont Pizza,"1746, boul. des Laurentides",Vimont,,(450) 667-9683,1,Pizza,,,,,,
Microbrasserie St-Arnould,"435, rue des Pionniers",Mont-Tremblant,,(819) 425-1262,1,Pub Food,,,,,,
Sushi Inbox,"2045, ave. Union",Centre-ville,,(514) 282-7772,1,Sushi,,,,,,
Jardin Hochelaga,"8792, rue Hochelaga",Tétreaultville-Mercier-Est,Montréal-Est,(514) 351-4171,1,Canadienne,Salades,Sandwichs,Grillades,Déjeuner,,
Minced,"4147, rue St-Denis",Le Plateau-Mont-Royal,,(514) 419-9818,1.5,Burgers,,,,,,
Tout En N'Oeuf,"190, rue Notre-Dame",Repentigny,,(450) 581-9748,1,Déjeuner,,,,,,
Maison Boulud,"1228, rue Sherbrooke O",Centre-ville,,(514) 842-4212,2,Du Terroir,Française,Méditerranéenne,Tartare,,,
Le Pionnier,"286, chemin Lakeshore",Pointe-Claire,,(514) 630-8118,1,Pub Food,Burgers,Réconfort,,,,
Station W,"3852, rue Wellington",Verdun/Lasalle,,(514) 508-9768,1,Café,Desserts et Sucreries,Sandwichs,Grilled Cheese,,,
Tomato la boîte à pizza,"4319, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 678-4430,1.5,Pizza,Sandwichs,Pâtes,,,,
Café Jonah James,"5100, rue Sherbrooke O",Westmount,,(514) 507-3047,1,Bistro,Sandwichs,Salades,,,,
La Trinquette,"290, rue Champlain",St-Jean-Sur-Richelieu,,(450) 349-1811,1,Bistro,Sandwichs,,,,,
Cao Lanh,"2651, rue Ontario E",Le Village/Centre Sud,,(514) 523-6334,1,Sushi,Sandwichs,,,,,
Traiteur Goosto,"4500, ave. du Parc",Mile-End,Le Plateau-Mont-Royal,(514) 439-6004,1,Internationale,Sandwichs,Déjeuner,Santé,,,
Liège,"881, rue de Liège O.",Ahuntsic-Cartierville,Parc-Extension,(514) 271-0601,1,Pizza,Salades,Pâtes,Sandwichs,Casse-Croute,Poutine,
Falafel Du Nord,"3240, ave. Jean-Béraud",Chomedey,,(450) 686-6660,1,Libanaise,Moyen Orientale,,,,,
Bagel de L'Ouest,"4404, boul. des Sources",Dollard-des-Ormeaux,,(514) 683-2552,1,Bagels,,,,,,
Isle de Garde,"1039, rue Beaubien E",Rosemont-Petite-Patrie,,(514) 303-1661,1.5,Pub Food,Réconfort,Grilled Cheese,Sandwichs,,,
Deli 770,"265, boul. Alexis-Nihon",Ville Saint-Laurent,,(514) 748-0770,2,Deli,Cacher,Sandwichs,,,,
Le Hub 33,"33, boul. Curé-Labelle",Sainte-Rose,,(450) 963-1010,2,Steakhouse,,,,,,
Ganges,"6079, rue Sherbrooke O",Notre-Dame-de-Grâce (NDG),,(514) 488-8850,2,Indienne,,,,,,
Le Castel des Prés,"5800, boul. Gene-H.-Kruger",Trois-Rivières,,(819) 375-4921,2,Française,Tapas,Tartare,,,,
Baguette,"2069, route Marie-Victorin",Varennes,,(450) 929-2279,1.5,Sandwichs,,,,,,
Dakao,"360, rue Jean-Talon E",Rosemont-Petite-Patrie,,(514) 272-6099,1,Vietnamienne,,,,,,
Restaurant D'Alma,"2128, rue Jean-Talon E",Villeray-Saint-Michel,,(514) 728-0666,1,Grecque,Grillades,Pizza,Sandwichs,Poutine,,
Bélanger Pizzeria,"2820, rue Bélanger",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(514) 725-9511,1,Pizza,,,,,,
Otago Café Traiteur,"5663A, ave. Royalmount",Notre-Dame-de-Grâce (NDG),,(514) 733-0765,1,Marché,Café,,,,,
Chez Gatsé,"317, rue Ontario Est",Quartier Latin,Quartier des Spectacles,(514) 985-2494,2,Tibétaine,,,,,,
Grillade Portugais Imperio,"1292, rue Jarry E",Villeray-Saint-Michel,,(514) 721-5665,2,Portugaise,Grillades,,,,,
Boran,"8305, boul. Langelier",Anjou-St-Léonard,Montréal-Est,(514) 326-4111,1,Pizza,Sandwichs,Salades,Pâtes,Burgers,,
Esprit Du Thé - Esprithé,"112, ave. Laurier O",Le Plateau-Mont-Royal,,(514) 273-4087,1,Maison de thé,,,,,,
Juju Thai Bar,"1240, rue Crescent",Centre-ville,Rue Crescent,(514) 903-3877,1.5,Thaïlandaise,Fusion,Chinoise,Asiatique,,,
Miyoko Sushi,"394, rue Principale",Lachute,,(450) 409-0666,2,Sushi,Japonaise,,,,,
Alex Pizzeria,"5110, rue Beaubien E",Rosemont-Petite-Patrie,,(514) 253-0101,1,Pizza,,,,,,
Mon Sushi,"1069, boul. Curé-Poirier O.",Longueuil,Vieux Longueuil,(450) 332-9937,1.5,Sushi,,,,,,
Coq De L'Est 2015,"8803, rue Hochelaga",Tétreaultville-Mercier-Est,Montréal-Est,(438) 385-9455,1,Rôtisserie,Barbecue-BBQ,,,,,
Resto 2-30,"230, rue Saint Venant",Sainte-Agathe-des-Monts,,(819) 326-3994,2.5,Internationale,,,,,,
Malhi Sweets (Sucrerie Malhi),"880, rue Jarry O",Parc-Extension,Villeray-Saint-Michel,(514) 273-0407,1,Indienne,,,,,,
Le Shish Taouk,"1954, rue Beaubien E",Rosemont-Petite-Patrie,,(514) 276-9412,1,Moyen Orientale,,,,,,
Le Caravane Café,"3506, ave. Lacombe",Côte-des-Neiges,,(514) 344-1780,1,Café,Sandwichs,Déjeuner,Pâtisserie,,,
India's Oven,"454, rue Jean-Talon O",Parc-Extension,Villeray-Saint-Michel,(514) 509-8678,1,Indienne,,,,,,
Cabane à Sucre Chez Gagnon,"3525, rang St-Hyacinthe",Mirabel,,(450) 258-3043,2,Cabane à sucre,,,,,,
Sucré Salé,"3693, boul. St-Jean",Dollard-des-Ormeaux,,(514) 784-1130,1,Crêperie,Déjeuner,Salades,,,,
Hikaru,"5235, rue Wellington",Verdun/Lasalle,,(514) 315-9798,1,Sushi,Japonaise,Asiatique,,,,
Sushi Lachine,"935, rue Notre-Dame",Lachine,,(514) 509-5202,1,Sushi,Japonaise,,,,,
Le Balzac,"1560, rue Principale",Granby,,(450) 375-7667,2.5,Française,Marché,Tartare,,,,
Bellerive Pizzeria,"470, boul. Curé-labelle",Chomedey,,(450) 688-5444,2,Pizza,Italienne,,,,,
Bullseye Bar & Steak House,"118, chemin Kandahar",Mont-Tremblant,,(819) 681-2855,2,Steakhouse,Barbecue-BBQ,Grillades,,,,
Koutouki du Parc,"5258, ave. du parc",Mile-End,Outremont,(514) 271-2130,1.5,Grecque,Fruits de mer/Poissons,Méditerranéenne,,,,
Au Coin Du Viet-nam,"1530, rue Galt O",Sherbrooke,,(819) 566-8383,1,Vietnamienne,,,,,,
Café Aragon,"1497, rue Galt O",Sherbrooke,,(819) 820-0142,1.5,Santé,Sandwichs,Salades,,,,
Cabanas Pupuseria,"1453, rue Bélanger",Villeray-Saint-Michel,,(514) 725-7208,1,Salvadorienne,Latino Américaine,,,,,
La Petite Allemagne,"33, rue Principale E",Sainte-Agathe-des-Monts,,(819) 323-4433,1.5,Allemande,,,,,,
Chez Mart's,"1696, chemin Gascon",Terrebonne/Lachenaie,,(450) 918-3474,2,Grillades,Fish & Chips,Fruits de mer/Poissons,,,,
J'adore Sushi,"13670, rue Sherbrooke E.",RDP-Pointe-aux-Trembles,,(514) 498-4884,1.5,Sushi,Japonaise,Végétarienne,,,,
Chicho's,"6580, boul. St-Laurent",Petite-Italie,Rosemont-Petite-Patrie,(514) 277-9390,2,Péruvienne,Latino Américaine,,,,,
Pataterie Chez Philippe,"1877, rue Amherst",Le Village/Centre Sud,,(514) 528-5957,1,Poutine,Burgers,Sandwichs,Casse-Croute,Grilled Cheese,,
Bouchée D'Or,"111, boul. Curé-Labelle",Chomedey,,(450) 628-6593,2,Française,Tartare,,,,,
Kappa Sushi,"755, rue Jean-Talon E",Villeray-Saint-Michel,,(514) 903-6060,1,Sushi,Japonaise,,,,,
Taglio di Roma,"949, boul. d'Auteuil",Duvernay,,(450) 936-8660,1,Pizza,Desserts et Sucreries,Café,Déjeuner,,,
Arabesque Lounge,"1241, rue Guy",Centre-ville,,(514) 933-3331,1,Afghane,Moyen Orientale,,,,,
Mashaweena,"3783, boul. St-Laurent",Le Plateau-Mont-Royal,,(514) 904-1042,1.5,Libanaise,Moyen Orientale,,,,,
Tunnel Espresso Bar,"1253, ave. McGill College",Centre-ville,,(514) 882-5288,1,Café,Desserts et Sucreries,Sandwichs,,,,
